epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4282.07,1.02811,0.85427,1.04036,0.80656,0.92982,0.88271,0.57311,1.31257,1.21592,1.23383,0.000990365,0.000990365,0.000990365
43,4379.46,0.97569,0.80206,1.02507,0.89602,0.90714,0.9205,0.59977,1.26761,1.22588,1.22737,0.000973861,0.000973861,0.000973861
44,4474.15,0.95939,0.84745,1.01118,0.93575,0.87719,0.9468,0.63488,1.18192,1.01016,1.19611,0.000957358,0.000957358,0.000957358
45,4570.99,1.04237,0.8119,1.05081,0.92242,0.87719,0.94877,0.64489,1.16647,0.96886,1.18732,0.000940855,0.000940855,0.000940855
46,4666.36,1.01577,0.83798,1.03443,0.85322,0.85965,0.94216,0.6394,1.19768,1.03338,1.17822,0.000924352,0.000924352,0.000924352
47,4762.8,1.02746,0.84239,1.04526,0.92178,0.85965,0.94784,0.63543,1.18452,1.0086,1.16433,0.000907848,0.000907848,0.000907848
48,4861.03,0.97708,0.81619,1.02727,0.91583,0.85965,0.9549,0.6363,1.1885,0.98414,1.17386,0.000891345,0.000891345,0.000891345
49,4958.97,1.02217,0.78451,1.04955,0.88113,0.91033,0.96225,0.64357,1.16085,0.90536,1.17969,0.000874842,0.000874842,0.000874842
50,5063.8,0.98121,0.77408,1.03846,0.89673,0.91405,0.96565,0.65671,1.15346,0.88702,1.17826,0.000858338,0.000858338,0.000858338
51,5165.82,0.96201,0.83754,1.03261,0.91875,0.87719,0.96274,0.63915,1.2472,0.95792,1.22205,0.000841835,0.000841835,0.000841835
52,5270.61,1.01348,0.78972,1.06143,0.94735,0.87719,0.96637,0.67544,1.20773,1.08501,1.19097,0.000825332,0.000825332,0.000825332
53,5394.1,0.93584,0.71347,1.02932,0.96186,0.88493,0.96981,0.67701,1.16103,1.05713,1.17357,0.000808828,0.000808828,0.000808828
54,5493.48,0.93282,0.75003,1.05421,0.9619,0.88601,0.96419,0.67006,1.16959,0.98856,1.18983,0.000792325,0.000792325,0.000792325
55,5596.55,0.96491,0.70816,1.04537,0.87939,0.89474,0.95114,0.65426,1.20036,0.93241,1.2135,0.000775822,0.000775822,0.000775822
56,18285.2,0.94412,0.72868,1.03052,0.8965,0.91182,0.94849,0.65099,1.20927,0.90874,1.20953,0.000759318,0.000759318,0.000759318
57,18429.9,0.88786,0.7251,0.99505,0.89575,0.90456,0.94288,0.65246,1.20622,0.88569,1.19942,0.000742815,0.000742815,0.000742815
58,18550.6,0.93786,0.73347,1.02392,0.90684,0.91228,0.94671,0.65167,1.22544,0.90337,1.20593,0.000726312,0.000726312,0.000726312
59,18660.2,0.91098,0.87412,1.01324,0.88647,0.89474,0.95334,0.65703,1.22237,1.02366,1.18282,0.000709809,0.000709809,0.000709809
60,18752,0.86874,0.72286,0.97258,0.90672,0.87719,0.94901,0.65476,1.18704,0.9899,1.16213,0.000693305,0.000693305,0.000693305
61,18847.2,0.87692,0.66289,0.95922,0.88033,0.90345,0.94323,0.66223,1.16069,0.93948,1.15992,0.000676802,0.000676802,0.000676802
62,18947.1,0.9031,0.66898,0.99487,0.88311,0.9278,0.94139,0.64946,1.15135,0.88354,1.16723,0.000660299,0.000660299,0.000660299
63,19038.6,0.90965,0.80078,1.0015,0.85663,0.9435,0.93754,0.642,1.16558,0.87601,1.17653,0.000643795,0.000643795,0.000643795
64,19125.3,0.93485,0.75133,0.99547,0.81565,0.96491,0.93714,0.66073,1.13564,0.86746,1.1533,0.000627292,0.000627292,0.000627292
65,19214.6,0.9272,0.7438,0.97746,0.85812,0.92982,0.95323,0.68773,1.10784,0.87902,1.12721,0.000610789,0.000610789,0.000610789
66,19304.9,0.87579,0.67775,0.97651,0.87457,0.91228,0.95793,0.68657,1.09393,0.87925,1.12178,0.000594286,0.000594286,0.000594286
67,19393.8,0.86832,0.72804,0.97947,0.93012,0.85965,0.96063,0.66875,1.1174,0.94328,1.11971,0.000577782,0.000577782,0.000577782
68,19481,0.89175,0.67765,0.95968,0.97992,0.85609,0.96186,0.66872,1.14051,0.98234,1.1395,0.000561279,0.000561279,0.000561279
69,19569.2,0.85575,0.64264,0.95134,0.97985,0.85338,0.95918,0.6782,1.11603,0.94332,1.1384,0.000544776,0.000544776,0.000544776
70,19657.8,0.90984,0.67936,0.99222,0.961,0.86478,0.94394,0.67261,1.13217,0.93258,1.16358,0.000528272,0.000528272,0.000528272
71,19746.5,0.85416,0.64396,0.969,0.91034,0.89064,0.94395,0.61486,1.26934,0.89972,1.23674,0.000511769,0.000511769,0.000511769
72,19834.1,0.84636,0.64749,0.96679,0.88999,0.91228,0.94475,0.60037,1.32405,0.8811,1.28094,0.000495266,0.000495266,0.000495266
73,19924.1,0.8682,0.65981,0.99187,0.92846,0.91079,0.94866,0.6163,1.28055,0.83611,1.2604,0.000478762,0.000478762,0.000478762
74,20011.7,0.8847,0.67332,0.99371,0.92814,0.90642,0.94792,0.63002,1.2216,0.80953,1.22247,0.000462259,0.000462259,0.000462259
75,20099.5,0.84919,0.64163,1.00664,0.92809,0.90572,0.95704,0.66215,1.16683,0.80064,1.18282,0.000445756,0.000445756,0.000445756
76,20187.6,0.82934,0.66429,0.96922,0.91376,0.92982,0.9652,0.64938,1.24531,0.84606,1.22332,0.000429253,0.000429253,0.000429253
77,20277.1,0.85261,0.61956,0.96448,0.91883,0.91228,0.96632,0.63941,1.26828,0.86857,1.23358,0.000412749,0.000412749,0.000412749
78,20375,0.8845,0.68464,1.00898,0.90964,0.87719,0.95985,0.64816,1.24959,0.89361,1.21544,0.000396246,0.000396246,0.000396246
79,20463.8,0.79847,0.64256,0.95466,0.92707,0.89215,0.95193,0.66429,1.19015,0.88443,1.17919,0.000379743,0.000379743,0.000379743
80,20551.3,0.74878,0.56147,0.91485,0.91103,0.89826,0.94875,0.66251,1.16741,0.85398,1.17213,0.000363239,0.000363239,0.000363239
81,20639.6,0.79396,0.61031,0.93479,0.89701,0.91228,0.9482,0.66442,1.16685,0.80947,1.17518,0.000346736,0.000346736,0.000346736
82,20735.7,0.83722,0.58085,0.97536,0.91104,0.91228,0.94981,0.66802,1.16405,0.8042,1.17968,0.000330233,0.000330233,0.000330233
83,20823.9,0.77555,0.58388,0.9574,0.92347,0.89474,0.952,0.67147,1.15264,0.80238,1.18135,0.000313729,0.000313729,0.000313729
84,20912.7,0.79045,0.5729,0.95738,0.8464,0.94737,0.95086,0.67142,1.15207,0.81122,1.17931,0.000297226,0.000297226,0.000297226
85,21001.9,0.81481,0.59401,0.94191,0.8583,0.96491,0.95618,0.6726,1.15539,0.81896,1.18185,0.000280723,0.000280723,0.000280723
86,21090.4,0.77608,0.57213,0.95049,0.89996,0.94737,0.96161,0.67001,1.175,0.82948,1.19527,0.00026422,0.00026422,0.00026422
87,21195.4,0.78114,0.57015,0.95379,0.898,0.92682,0.95949,0.6649,1.20629,0.86064,1.20676,0.000247716,0.000247716,0.000247716
88,21284.9,0.77004,0.58947,0.95222,0.88518,0.91228,0.95925,0.66497,1.19536,0.86691,1.1968,0.000231213,0.000231213,0.000231213
89,21376.8,0.79735,0.60488,0.9392,0.88459,0.94134,0.96103,0.68261,1.16194,0.87586,1.17307,0.00021471,0.00021471,0.00021471
90,21480.9,0.72511,0.58364,0.91853,0.86099,0.92982,0.9601,0.67598,1.16195,0.89128,1.17286,0.000198206,0.000198206,0.000198206
91,21585.4,0.7898,0.56882,0.96156,0.86898,0.91228,0.95529,0.67162,1.16643,0.89855,1.17742,0.000181703,0.000181703,0.000181703
92,21680.8,0.72473,0.56491,0.93741,0.96742,0.82456,0.95167,0.65625,1.19226,0.92022,1.19148,0.0001652,0.0001652,0.0001652
93,21790.7,0.69534,0.54818,0.9354,0.97221,0.82456,0.95014,0.65712,1.19856,0.92019,1.19573,0.000148696,0.000148696,0.000148696
94,21885.9,0.73565,0.59111,0.93821,0.97521,0.82456,0.953,0.66458,1.20297,0.92033,1.20193,0.000132193,0.000132193,0.000132193
95,21978.8,0.75685,0.58256,0.97056,0.9763,0.82456,0.95618,0.6687,1.18201,0.89997,1.18711,0.00011569,0.00011569,0.00011569
96,22088.1,0.72288,0.58469,0.91064,0.97952,0.83895,0.95677,0.67219,1.16687,0.88162,1.17776,9.91865e-05,9.91865e-05,9.91865e-05
97,22232.7,0.73755,0.54592,0.94709,0.90708,0.89474,0.96191,0.68734,1.14948,0.864,1.16941,8.26832e-05,8.26832e-05,8.26832e-05
98,22327.8,0.71805,0.56309,0.95316,0.90011,0.89474,0.96188,0.68331,1.14206,0.86599,1.16542,6.61799e-05,6.61799e-05,6.61799e-05
99,22428,0.695,0.52054,0.93329,0.91079,0.89559,0.96294,0.68518,1.14073,0.86243,1.16445,4.96766e-05,4.96766e-05,4.96766e-05
100,22517.9,0.73068,0.61002,0.92941,0.91159,0.91228,0.96474,0.68463,1.14359,0.86011,1.16676,3.31733e-05,3.31733e-05,3.31733e-05
